star_academy_sessions
Module,Session,Focus,Objectives,Materials,Teacher_Preparations,Performance_Assessment_Questions,,,
Mission to Mars v1.1,2,Characteristics of the Sun,"• Explore characteristics of the Sun.
• Learn about the relative sizes and distances within our solar system.
• Determine why seasons occur.
• Complete the Mars globe you began in Session 1.","Four-inch Mars Globe Petal Projection Southern Hemisphere Worksheet, Scissors, Tape, Globe with Stand from Session 1",N/A,N/A,,,
Mission to Mars v1.1,3,UV Exposure on Earth,"• Learn about the hazards of UV exposure on Earth.
• Learn about the hazards of radiation exposure in space and on Mars.
• Build a UV detector and test the ability of water to block UV radiation.
• Begin making observations about your personal UV exposure.
• Locate areas on Mars with lower radiation risks.","10 UV Detection Beads, String, UV Flashlight, 2 Clear Plastic Cups, 2 Coffee Cups, Water, 12 Ruler, Scissors, Mars Globe from session 2, Mars Radiation Distribution Map from the Student Module Notebook, Mars Base Location Worksheet",N/A,"1. Identify the locations of Olympus Mons, Arsia Mons, Pavonis Mons, and Ascraeus Mons on your Mars globe.
2. Identify the location of Hellas Planitia on your Mars globe.
3. Identify the areas on the surface of Mars where the radiation distribution is at safe levels.
4. Explain why the radiation levels are different for Hellas Planitia.",,,
Mission to Mars v1.1,4,Earth's Water Distribution,"• Identify how water is distributed on Earth.
• Identify areas where you can conserve freshwater resources.
• Explore how the International Space Station conserves water resources.
• Identify locations on Mars where water is available.","Your Mars Globe from session 2, Map of Water on Mars Worksheet from the Student Module Notebook, Mars Base Location Worksheet",N/A,"1. Identify the location of the Apollinaris Patera volcano on both your Mars globe and the Map of Water on Mars.
2. Identify the location of the Cassini Crater on both your Mars globe and the Map of Water on Mars.
3. Identify the areas on Mars where water can be found in quantities large enough to be useful.
4. Based on what you learned about radiation in the previous session, identify the drawbacks to any of the areas identified as having enough water.",,,
Mission to Mars v1.1,5,Earth's Energy Resources,"• Explore the different types of energy resources on Earth.
• Identify energy resources that can be used on Mars.
• Test a working wind turbine.","Mars Base Location Worksheet, Fan, Wind Turbine, 12 Ruler",N/A,N/A,,,
Mission to Mars v1.1,6,Oxygen on Mars,"• Learn about ways oxygen can be obtained on Mars.
• Perform an experiment to determine the rate of photosynthesis.
• Identify the areas on Mars where farming can take place.","Baking Soda-Water Solution, 100 mL Graduated Cylinder, Hole Punch (one per partner), Plant Material, 2 Syringes, 2 Binder Clips, 2 Clear Plastic Cups, Marker, 2 Lights, Timer, Ruler, Leaf Disk Photosynthesis Worksheet, 2 Pieces of Clear Plastic Tubing, Your Mars Globe and Stand from session 2, Earth Globe",• You will need to mix the baking soda solution in advance for the students to use in the leaf disk photosynthesis activity. You should dissolve half a cup of baking soda in one gallon of distilled water. Use a black magic marker to label the container Baking Soda-water Solution. You may use up to five gallons per year of this solution. Use the black marker to label the 1000mL bottle Baking Soda/Water Solution. Pour the solution in the labeled 1000mL wash bottle and keep at the workstation. Refill as needed.,N/A,,,
Mission to Mars v1.1,7,Living on Mars,"• Complete the UV Detection worksheet.
• Learn how food requirements will be met on a mission to Mars.
• Compare different possible locations on Mars for a base.
• Identify the location you would choose for a Mars base.
• Defend your choice of a location for a Mars base by using the evidence you have.","UV Detection Worksheet, Your Mars Globe from session 2, Map of Water on Mars Worksheet from the Student Module Notebook, Star Stickers, Mars Base Location Worksheet",N/A,"1. Identify the location you would choose for a Mars base and explain how you would provide oxygen at that location for the Mars astronauts.
2. Describe how you would provide the necessary radiation protection at the location you have chosen for the Mars astronauts.
3. Describe how the water needs would be met at the location you have chosen for the Mars astronauts.
4. Describe how the power needs would be met at the location you have chosen for the Mars astronauts.",,,
Ecology,1,Biotic and Abiotic Factors,"• Define terms related to ecology.
• Distinguish between biotic and abiotic factors in ecosystems.
• Learn about the use of models in studying ecosystems.
• Measure abiotic factors in the aquarium ecosystem.","2 googles, 2 pairs latex gloves, 2 lab coats, 500-mL beaker, fresh water Aquaculture test kit, Abiotic Factors worksheet, paper towels","If allotted science time is limited, consider gathering materials for students prior to the start of the lesson.",N/A,,,
Ecology,2,Food Chains and Webs,"• Define food chains and food webs.
• Distinguish the various components of a food web.
• Learn the laws of thermodynamics.
• Dissect an owl pellet to determine the owl's prey.","owl pellet, 2 cutting boards, 2 pairs latex gloves, 2 lab coats, 2 bamboo probes, 2 pairs forceps, 2 hand lenses, Barn Owl Food Web worksheet, Bone-Sorting Guide poster, Teeth of Small Mammals in Barn Owl Pellets poster, resealable plastic bag","If allotted science time is limited, consider gathering materials for students prior to the start of the lesson.",N/A,,,
Ecology,3,Energy Flow and Nutrient Cycles,"• Develop a barn owl food web.
• Explore biogeochemical cycles in ecosystems.
• Measure levels of oxygen in the aquarium ecosystem.","Barn Owl Food Web worksheet, 2 lab coats, 2 googles, 2 pairs of latex gloves, Fresh Water Aquaculture Test Kit (Direct reading titrator – code 0377, wide mouth test tube, plastic eye dropper, glass water sampling bottle – code 0688DO, manganous sulfate solution, Alkaline potassium iodide azide, sulfuric acid 1:1, sodium thiosulfate, starch indicator solution), Abiotic Factors worksheet, 500 mL beaker, paper towels","If allotted science time is limited, consider gathering materials for students prior to the start of the lesson.","1. Using your completed Barn Owl Food Web worksheet, explain how you obtained the information in each level of your food web.
2. Explain the concept of trophic levels. Distinguish between autotrophs and heterotrophs and give an example of each from your barn owl food web.
3. Draw an energy pyramid. Explain what happens as you move up the pyramid and relate this to the Second Law of Thermodynamics.
4. Using your Abiotic Factors worksheet, name three substances that cycle through ecosystems.",,,
Ecology,4,Population Estimation,"• Explore factors affecting population growth.
• Define carrying capacity.
• Compare J-curves and S-curves.
• Look at human population growth.
• Do a population estimation activity.","2 cutting boards, 2 container of beans labeled Bean City, 500 mL beaker, timer, washable markers, kitchen towel, paper towels, Estimating Population Size worksheet","If allotted science time is limited, consider gathering materials for students prior to the start of the lesson.",N/A,,,
Ecology,5,Predator-Prey; Population and Adaptations,"• Learn how organisms adapt to a particular niche in an ecosystem.
• Understand that adaptation is essential for species survival.
• Observe examples of adaptive interactions in natural communities.
• Simulate a predator-prey interaction.","Bean City container, 500 mL beaker, blindfold, timer, dish towel, cutting board, Predator-Prey Interaction worksheet","If allotted science time is limited, consider gathering materials for students prior to the start of the lesson.","1. Draw both an exponential and a logistic population growth curve and explain the difference in terms of population growth.
2. Distinguish between sampling a population and taking a census. Explain which method would be best used to determine the bacterial population of the aquarium and why.
3. Show the completed Estimating Population Size worksheet from the last session, and explain the mark-recapture method of sampling.
4. From your aquarium ecosystem, give and define two examples of community interactions.",,,
Ecology,6,Biodiversity,"• Follow the process of succession in a community.
• Define biodiversity.
• Explore the relationship between biodiversity and ecosystem stability.
• Sample and calculate the diversities of two communities.","Beantotopia container, Bean City container, cutting board, Diversity Index worksheet","In this session, students are told to skip pages 21-23 if they have five minutes or less remaining in the class period. This is the Bean City diversity part of the activity. They will have completed the Beanotopia diversity measurements and will be able to calculate a diversity index for Beanotopia, but not for Bean City. They will also be unable to answer the worksheet questions comparing diversities of the two communities. If allotted science time is limited, consider gathering materials for students prior to the start of the lesson.",N/A,,,
Ecology,7,Ecosystem Services; Humans and Ecosystems,"• Explore services that ecosystems provide to humans.
• Discover fossil records and mass extinctions.
• Learn the importance of keystone species and indicator species.
• Consider the interdependence of humans and species biodiversity.","Human and Ecosystems worksheet, colored pencils",N/A,"1. Show your first list of ecosystem services. List additional ecosystem services that you have learned during this session.
2. Explain the term biodiversity. Explain how humans are affecting present-day biodiversity.
3. Explain how you determined species diversity in the last session. Of your two communities, Bean City and Beanotopia, explain which was more diverse and why.
4. Show your completed Humans and Ecosystems concept map. Point out several important interconnections and explain why you think they are important.",,,
Alternative Energy,1,Conservation of Energy; 2 Alternative Energies,"• Learn the definition of energy.
• Learn the characteristics of renewable, nonrenewable, and perpetual energy resources.
• Be introduced to the scientific Law of Conservation of Energy.
• Explore traditional and nontraditional, or alternate, forms of energy.",Newton's cradle,N/A,"1. Define energy.
2. Describe the differences among renewable, nonrenewable, and perpetual resources.
3. List three traditional energy sources and three alternate energy sources.
4. Explain the scientific Law of Conservation of Energy.",,,
Alternative Energy,2,Wind Energy; Wind Turbine Experiment,"• Learn about harnessing wind energy for the production of electricity.
• Perform an experiment that requires you to correctly set up the wind turbine.
• Evaluate the efficiency of the blade angles and their relationship to wind velocity.","Wind turbine, red and black test leads, ruler, fan, voltage box, wind meter",N/A,N/A,,,
Alternative Energy,3,Types of Solar Energy; Solar Cells Experiment,"• Learn how energy is produced by the Sun.
• Learn the important role the Sun plays in the production of energy on Earth.
• Learn about the four main types of solar energy.
• Perform an experiment using solar cells.","Lamp, four solar cells, voltage box, red and black leads with alligator clips, ruler, Solar Cells worksheet",N/A,"1. Explain the basic concept of nuclear fusion.
2. Name at least three characteristics of solar energy.
3. List the four main types of solar energy.
4. Explain how a photovoltaic cell converts solar energy into electrical energy.",,,
Alternative Energy,4,Geothermal and Hydroelectric Energy; Hydroelectric Turbines,"• Explore hydropower and geothermal power.
• Learn the process of how these sources create energy.","2 pairs of scissors, Pinwheel Pattern worksheet, sheet of transparency film, marker, 2 drinking straws, cork, 2 pins, 2 push pins, 2 binder clips, wash bottle, plastic tub, towel",Water is needed for this session. Students can dispose of the water for Sessions 4 into an additional plastic container.,N/A,,,
Alternative Energy,5,Biomass Energy; Fermentation Experiment; Fuel Cell Technology,"• Explore biomass energy.
• Begin a fermentation experiment.
• Learn the basics of fuel cell technology.","3 large test tubes, 3 balloons, test tube rack, 500 mL beaker, squeeze bottle of corn syrup, container of yeast, metric measuring spoons, glass stirring rod, marking pen, 2 pairs of plastic gloves, 2 Fermentation worksheets, paper towels",Corn syrup is needed in Session 5. Pour the corn syrup into the squeeze bottle provided and label the bottle Corn syrup with a black permanent marker.,N/A,,,
Alternative Energy,6,Hydrogen Fuel Cells; Solar Hydrogen Fuel Cell,"• Learn about hydrogen fuel cells.
• Evaluate the benefits and challenges facing hydrogen fuel cell technology.","2V solar panel, lamp, tap water, 2 wire test leads, aluminum foil, scissors, ruler, salt, measuring spoons, glass stirring rod, plastic tub, 2 test tubes, towel","Water is needed for the activities in this session. The student's use of water is left to your discretion. Below are our suggestions.
• Session 6: If the lab does not have access to a sink, we recommend you fill a plastic container (such as an empty milk jug) with water for students to use.
• Students can dispose of the water for this session into an additional plastic container. Water used in Session 6 will have salt added to it, so it should not simply be replaced into the initial container.","1. Describe the basic concepts of how a fuel cell works.
2. Provide three benefits of using fuel cell technology.
3. Explain how fuel cells are commonly categorized.
4. Explain why or why not you believe investments of time and money should be spent on research and development of fuel cell technology.",,,
Alternative Energy,7,Department of Energy; Energy Evaluation,"• Learn the role and responsibilities of the federal Department of Energy.
• Review energy-related data.
• Complete an assignment that requires you to make judgments, draw conclusions, and write evaluations based upon your reviews.",Alternative Energy Student Module Notebook,N/A,N/A,,,
Animals,1,Classification; Dichotomous Key,"• Define animal and taxonomy.
• Learn the hierarchy of animal classification.
• Construct a dichotomous key.","Cookie sheet, container of seashells, Dichotomous Key worksheet",N/A,N/A,,,
Animals,2,Lower Invertebrates Symmetry,"• Contrast invertebrates and vertebrates.
• Compare characteristics of the four phyla of simple invertebrates.
• Identify 3 types of symmetry.
• Define levels of organization.
• Construct clay models to represent invertebrates of four phylums.","Clay, paring knife, 2 magnifying glasses, Animal Phyla Card Set, coral piece",N/A,N/A,,,
Animals,3,Classifying Invertebrates; cephalization; sense organs,"• Compare characteristics of four higher invertebrate phyla.
• Classify organisms by phylum.
• Observe development of sense organs and sensory responses.
• Learn the importance of cephalization.",Visualizing Animal Phyla Card Sets,Ensuring the Anole habitat is at the workstation. Students will be handling mealworms with hands or forceps.,"1. Explain the difference between bilateral and radial symmetry, show and name an example of an animal having each, and explain the difference in lifestyles.
2. Identify from a picture or specimen an example of an organism that shows segmentation and explain the advantages of this characteristic.
3. Define cephalization, explain its importance, and show an example in the invertebrates you have studied.
4. Show your sorted invertebrate cards and explain the characteristics you used to classify invertebrates into each phylum.",,,
Animals,4,Chordates; vertebrates; fish,"• Learn the characteristics of chordates and vertebrates.
• Classify vertebrates into classes.
• Identify fish body structures and adaptations.
• Observe fish behavior.
• Determine the function of body structures.","Sea Star, Higher Invertebrate Worksheet, petri dishes, forceps, magnifying glasses",N/A,N/A,,,
Animals,5,Amphibians; reptiles; transition to land; live Anoles,"• Review the classification and characteristics of amphibians and reptiles.
• Consider characteristics necessary for the vertebrate transition to land.
• Observe the structure and behavior for 5 anoles.
• Identify adaptations of reptiles.
• Calculate the ratio of bone lengths in both amphibians and reptiles.
• Identify characteristics of bony fish, amphibians, and reptiles.","Visualizing Animal Phyla Card Set, Hindlimb Bones set, magnifying glasses, centimeter ruler, Amphibians and Reptiles worksheets",Students will need access to the printer for session 6.,N/A,,,
Animals,6,Birds; mammals; Design of Vertebrates,"• Compare and contrast the characteristics of birds and mammals.
• Consider behavioral adaptations of birds and mammals.
• Review vertebrate classification.
• Compare and contrast traits of similar mammals in different habitats.
• Determine the advantages of higher metabolic rates in birds and mammals.
• Explain why differences in mammals an advantage is due to their habitation.","Visualizing Animal Phyla Card Set, hindlimb bones set, magnifying glasses, Vertebrate Embryos and Birds and Mammals worksheets",Students will need access to the printer.,"1. List adaptations that made it possible for vertebrates to become land dwellers and name the first class of vertebrates to have all these characteristics.
2. Show your animal cards separated into the vertebrate classes of bony fish, amphibians, reptiles, birds, and mammals. List major characteristics of each group.
3. Discuss adaptations of birds and mammals for reproduction and parental care, including both similarities of the two groups and differences between them.
4. Explain how the characteristics of different types of rabbits and hares are adaptations to their environment.",,,
Animals,7,Adaptations & Evolution; fossil record,"• Define adaptation and evolution.
• Examine types of evidence for the evolution and relationships of animal groups.
• Complete Fossil Hunt Activity.
• Identify a fossil's geologic absolute age.","Fossil Hunt Kit, 2 dissecting forceps, plastic scoop, Fossil Identity Guide, Fossil Exploration Kit Guidebook",N/A,"1. Name and explain the two factors necessary for natural selection to occur.
2. Present grouped fossils and explain the features used to separate and identify them.
3. Give the era, period, and approximate age of the fossils in the fossil kit.
4. Distinguish between relative and absolute ages of fossils and explain how each is determined.",,,
Applied Physics,1,PASCar and Track,"• Define velocity and acceleration.
• Calculate velocity and acceleration.
• Explain the relationship between gravity and acceleration.","1.2 meter metal track, track feet, track end stop, PASCar, picket fence, smart gate, photogate bracket",N/A,N/A,,,
Applied Physics,2,Oscilloscope,"• Define the relationships among frequency, pitch, amplitude, and loudness.
• Experiment with different sound waves.
• List the steps necessary for you to hear sound.","Audio generator, speaker box, radio, audio cable, oscilloscope, red and black connection lead, black connection lead, lead adapter cable",Setting up the oscilloscope (initially) will require aligning the image lines on the screen. Do this by loosening the screws on the back of oscilloscope and turning the plate until the lines are correctly aligned.,N/A,,,
Applied Physics,3,Heat expansion,"• Define the term hypothesis.
• Make a hypothesis about how different materials expand when heat is applied.
• Test your hypothesis.
• Define and provide examples of three ways heat is transferred.","Timer, heat expansion gauge, three metal rods, hair dryer, extension cord",N/A,N/A,,,
Applied Physics,4,Heat experiment,"• List the steps of the scientific method.
• Differentiate between an insulator and a conductor.
• Conduct experiments to measure a material's ability to conduct or insulate heat.","Heat transfer board, hair dryer, timer, digital thermometer with probe, extension cord",N/A,"1. Demonstrate the proper way to set up and complete the experiment.
2. Differentiate between an insulator and a conductor.
3. List the steps of the scientific method.
4. Explain a hypothesis.",,,
Applied Physics,5,Light Filter Experiments,"• Verbalize how tinting sunglasses filters light.
• Discover how light waves travel.
• Determine which color filters block the most and least amount of light.","polarized lenses, lamp, light meter, six colored slides",N/A,"1. Verbalize how tinted sunglasses filter light.
2. Set up correctly and complete the light experiments.
3. Explain how light waves travel.
4. Choose a color filter that you would use in making sunglasses and defend your choice.",,,
Applied Physics,6,Laser Safety & Use,"• Describe the characteristics of laser light that make it different from ordinary light.
• Demonstrate proper care and use of a laser.
• Experiment with laser light.","Laser, splitter, two mirrors, target, books from the workstation",N/A,N/A,,,
Applied Physics,7,Laser Experiments,"• Demonstrate proper care and use of a laser.
• Transfer sound waves through a laser beam.
• Use a beam splitter and mirrors to direct the laser beam.","Laser, laser receiver, four (4) mirrors, microphone, radio, audio cable splitter, convex lenses, target",N/A,"1. Demonstrate proper care and use of the laser.
2. Utilize one or more mirrors in the transfer of sound over the laser into the photocell/speaker.
3. Verbalize the purpose of using the mirrors in the experiments.
4. Set up the equipment so that sound is transferred through the laser into the photocell/speaker.",,,
Bioengineering v1.2,1,Range of Motion (ROM),"• Experience the hip range of motion (ROM) flexibility tester.
• Organize testing data.
• Capture flexibility results with a digital camera.
• Practice averaging positive and negative integers that reflect individual range of motion data.","Flexibility tester, Digital camera","• Base measurement must be the same for Sessions 1, 2, and 3.
• Familiarize yourself with the third-party software used in Sessions 1, 2, 3, 5, and 6.
• Complete and mail all the registration cards that come with the equipment and software for this Module.",N/A,,,
Bioengineering v1.2,2,The (ROM) Flexibility Test,"• Complete the range of motion (ROM) flexibility test.
• Identify, classify, and measure geometric angles.
• Apply angle measurement to physical performance.","Flexibility tester, Digital camera, Protractor","• Base measurement must be the same for Sessions 1, 2, and 3.
• Familiarize yourself with the third-party software used in Sessions 1, 2, 3, 5, and 6.",N/A,,,
Bioengineering v1.2,3,Angle Projection,"• Complete range of motion flexibility tests.
• Perform angle projection at different angles.","Flexibility Tester, Digital Camera, Protractor, Projectile Launcher, Projectiles, Turf Mat, Meterstick, Calculator",N/A,N/A,,,
Bioengineering v1.2,4,Analyze Projectile Data,"• Perform angle projection at three additional angles.
• Gather, graph, and interpret projectile data.","Projectile Launcher, Projectiles, Turf Mat, Meterstick, 2-""Projectile Launch"" Worksheets, Calculator",N/A,"1. Estimate and justify the angle at which to release a projectile to acquire maximum distance.
2. Estimate and justify the angle at which to release a projectile to acquire minimum distance.
3. Demonstrate how to calculate the average distance of a projectile after three trials at that angle of release.
4. Verbally interpret the projectile data in the form of a line graph.",,,
Bioengineering v1.2,5,Goniometer,"• Measure range of motion with a goniometer.
• Use imaging software to measure body range of motion.","Goniometer, ""Angle Measurements"" worksheet","• Familiarize yourself with the third-party software used in Sessions 1, 2, 3, 5, and 6.",N/A,,,
Bioengineering v1.2,6,Measure Flex-Test Images,"• Measure range of motion of flex-test images.
• Enter range of motion measurements on the ""Angle Measurements"" worksheet.","""Angle Measurements"" worksheet","• Familiarize yourself with the third-party software used in Sessions 1, 2, 3, 5, and 6.","1. Demonstrate how to measure joint ROM with a hand goniometer.
2. Demonstrate how to measure joint ROM with a digitized angle measurement tool.
3. Verbally explain the similarities and differences of hand goniometer measurements and digitized angle measurements.
4. Demonstrate the joint movement to acquire a requested angle size.",,,
Bioengineering v1.2,7,Organs of the Male & Female Reproductive Systems,"• Enter daily flex-test data.
• Analyze this data in the form of graphs.
• Interpret data analysis.","""Angle Measurements"" worksheet",N/A,"1. Explain how angles apply to the purpose of the flexibility tester.
2. Verbally explain the relationship of angles and distance reached.
3. Demonstrate and explain the averaging of data recorded in a printout for each day.
4. Identify the angle of joint (hip/back) ROM to acquire maximum reach.",,,
Cell Structure,1,Use of Microscope Prokaryotes and Eukaryotes,"• Learn the definition and functions of a cell.
• Learn the principles of the cell theory.
• Compare and contrast prokaryotic and eukaryotic cells.
• Learn to use the microscope.","Lens paper, student module notebook, microscope, box of slides, (bacteria-three types smear and Paramecium caudatum w.m.)",N/A,N/A,,,
Cell Structure,2,Plant and Animal Cells; Elodea and Cheek Slides; Onion Cell Wet Mount,"• Identify cell organelles that can be seen with a light microscope.
• Observe and photograph cells on-screen.
• Distinguish between plant and animal cells.
• Make a wet-mount slide of living cells.","Onion, dropper bottle of water, iodine solution, lens paper, microscope, student module notebook, Elodea Leaf wet mount slide, Human Stratified Squamous Epithelium, smear slide","• Be sure this workstation is connected to a printer. The printer should be set up and a color print cartridge should be installed.
• In Session 2, students will be asked to save and print photographs of their cells. Students will use the microscope's Applied Vision software to view slides on the screen. In Session 2, they save and print photographs of their slides.
• Fill the 2-ounce dropper bottle with water (tap water is fine) and label it with the marker. This will be used in Session 2, to make the wet mount slide. A bottle of Lugol's iodine is supplied to stain starch granules in the onion wet mount. You may either leave this at the workstation or deliver it before Session.",N/A,,,
Cell Structure,3,Eukaryotic Cells; Cell Models,"• Identify organelles that cannot be seen with the light microscope.
• Explore the life functions performed by each organelle.","""Cell Organelles"" worksheet Plant and animal cell models, packet of cell organelles, ""Visualizing Cells"" poster","It will take about 48 hours to prepare the eggs, so begin on Day 3 of the rotation. To prepare the naked eggs, do the following:
1. Use one flat, covered Rubbermaid container to prepare the eggs.
2. Fill the container about half full of vinegar, and carefully place the eggs inside.
3. Cover the container and place it in the refrigerator. 2. Let the eggs sit for two days. Open the container, pour out the vinegar and dissolved eggshell, and rinse the eggs. By this time, the shells should be completely dissolved. If particles of shell remain, either peel them off carefully or (if time permits) add more vinegar and soak them another day.
4. Before each class period, fill a plastic Solo cup half-full of tap water, carefully place two naked eggs in it, and place it at the workstation. Caution students to handle the eggs carefully.
5. If the eggs are handled carefully, they shouldn't break. It's suggested that the students make extra eggs to ensure the activity can be completed.","1. Using your microscope, demonstrate how to focus a slide on high power.
2. Explain or demonstrate the process of preparing a wet mount slide and explain the purpose of adding iodine solution.
3. Show your completed ""Cell Organelles"" worksheet and give three differences between plant cells and animal cells.
4. On the cell models, name and give the function of any organelle pointed out by your instructor.",,,
Cell Structure,4,Mitosis,"• Learn the functions and importance of mitosis.
• Observe cells in different stages of mitosis.","Onion Mitosis worksheet, yellow magnets, white pop beads",Students will use the microscope's Applied Vision software to view slides on the screen.,"1. Define the cell cycle and list the two processes that occur during the cell cycle.
2. Using the cell boards, briefly show what happens during mitosis, and explain how the two resulting daughter cells compare to the original mother cell.
3. Explain the importance of mitosis in organisms.
4. Show your completed ""Onion Mitosis"" worksheet. Explain what is occurring during any stage of mitosis that your teacher requests.",,,
Cell Structure,5,Cell Transport Processes; Experimental Design; Naked Egg Experiment,"• Compare mitosis and meiosis.
• Explore cell transport processes.
• Review the experimental method.
• Set up an osmosis experiment.","*Each class will need two ""naked eggs"" to set up the osmosis experiment* 250-milliliter beaker, 2 plastic cups, serving spoon, aluminum weighing dish, sugar water, distilled water, digital scale, centimeter measuring tape, masking tape, marker, 2 pairs vinyl gloves. 2 lab coats, paper towels, student module notebook, 2 ""Naked Egg Experiment"" worksheets","For the naked egg (osmosis) experiment in Session 5, students will need distilled water and a concentrated sugar solution. The sugar solution should be made fresh for each rotation. To make the sugar solution, do the following:
1. Fill the 1,000 mL pitcher to the 250 mL mark with light Karo syrup.
2. Fill it to the 1,000 mL mark with distilled water and stir with the serving spoon.
3. Pour the solution into the 2-quart storage container.
4. Label the container with the black marker. Students will set up the experiment in this session. Eggs will need to be stored in cups in the refrigerator for 24 hours (or over the weekend) between Sessions 5 and 6. Egg cups can be stored in the two flat Rubbermaid containers.",N/A,,,
Cell Structure,6,Osmosis; Lab Report,"• Learn the importance of water in cells.
• Explore active transport.
• Collect data for your osmosis experiment.
• Complete your lab report.","Cups containing your eggs, serving spoon, aluminum weighing dish, digital scale, measuring tape,2 pairs vinyl gloves,2 lab coats, paper towels, student module notebook, ""Naked Egg Experiment"" worksheets",N/A,"1. Define osmosis. Tell whether osmosis is a form of active or of passive transport and explain what this means.
2. Explain what semipermeable membranes are and why they are important in living systems. Show the semipermeable membrane in the Naked Egg experiment.
3. Show your experimental setup. Describe the question, controls, and variables in the experiment.
4. Show your completed lab report. Explain your results, describing what they illustrate about osmosis in living systems.",,,
Cell Structure,7,Levels of organization; tissue types,"• Learn the definition and importance of tissues in organisms.
• Learn the four basic types of vertebrate tissues.
• Use the microscope to observe and photograph these tissues.","Microscope, lens paper, box of slides, student module notebook, ""Types of Tissues"" worksheet, You will need the following slides from the slide box: Human Esophagus Upper, Human Muscle Types, Mammal Cerebellum, Human Blood Film, smear",N/A,N/A,,,
Chemical Math,1,Physical/Chemical Changes; Properties of Matter; Calculate Density,"• Identify characteristic properties of matter.
• Demonstrate a physical change in matter.
• Locate melting points on a number line.
• Calculate and compare densities of different substances.","16 oz. water bottle, tap or distilled water, safety glass, Nitrile gloves salt, 2.5 plastic storage container, 100-milliliter graduated cylinder measuring spoons, small foam plate, jar of instant snow, gloves, squeeze bottle of water, Density Cube set, Mole Set, 2 rulers, digital scale, ""Characteristic Properties"" worksheets","• Fill the 16-ounce water bottle and close it with red-tipped spout.
• Label the squeeze bottle with one of the labels provided.
• Students are told to use distilled water; however, tap water will work just fine.
• Be sure that students use safety glasses and nitrile gloves A 2.5-cup plastic storage container is also provided. Before the first rotation, pour the salt into this container and label it, using one of the labels provided.",N/A,,,
Chemical Math,2,Scientific Notation; Size/Structure of Atom; Periodic Table Intro,"• Learn the structure of an atom.
• Define atomic number.
• Express sizes of atoms and atom components using scientific notation.",None,N/A,"1. Explain the structure of an atom, including types of particles, relative size of particles, and location of particles within the atom.
2. Show a number written in correct scientific notation and explain its parts, including first factor, base, and exponent.
3. Convert both the number .0000055 and the number 125,000,000,000 to scientific notation and explain how you determined the exponents in each case.
4. Explain why scientific notation is used to describe the sizes of atoms.",,,
Chemical Math,3,Type Calculate Atomic Mass; Periodic Table - Structure; Build Atoms,"• Calculate atomic mass based on isotope percentages.
• Learn the structure of the periodic table.
• Build atoms showing their electron shells.",None,• Make certain that the Periodic Table poster is located on the wall near the workstation.,N/A,,,
Chemical Math,4,Formulas,"• Explore the periodic table.
• Define ionic and covalent bonds.
• Construct Lewis dot structures of atoms.
• Develop chemical formulas.",None,N/A,N/A,,,
Chemical Math,5,Balancing equations; analyze equations; conservation of mass,"• Define terms relating to equations.
• Translate chemical equations from words to symbols.
• Construct molecules to demonstrate conservation of mass.
• Balance chemical equations.",Molymod Kit,N/A,"1. Define equation in mathematical terms and give an example of an equation using a variable.
2. Explain the components of a chemical equation, including reactant, product, and yield sign.
3. Show how to balance this chemical equation.
4. Use the Molymod Kit to explain how the equation demonstrates the law of conservation of mass.",,,
Chemical Math,6,Mole Concept; Avogadro's Number; Equations Using Mole,"• Explore the mole concept and Avogadro's number.
• Identify elements using the mole concept.
• Translate and solve algebraic expressions involving masses and moles of substances.","Mole Set, digital scale, aluminum weighing pan, salt, weighing scoop, Periodic table of elements, 2 ""Measuring Moles"" worksheets",N/A,N/A,,,
Chemical Math,7,Solving Equations; Solving Inequalities; Serial Dilutions,"• Explore and solve examples of one- and two-step equations used in chemistry.
• Demonstrate the steps to complete serial dilutions.
• Evaluate serial dilutions using inequalities.","Dye tablets, paper towels, squeeze bottle of water, 1,000-milliliter handle beaker with water, four 50-milliliter beakers, washable markers, weighing scoop, one 10-milliliter pipette, fast-release pipette pump, one (1) 1-milliliter pipette",N/A,N/A,,,
Climate Change v1.1,1,Greenhouse Effect; Polynomials,"• Be introduced to factors causing climate change.
• Define terms relating to climate change.
• Demonstrate the greenhouse effect.
• Create a graph showing rates of change in carbon dioxide.
• Add and subtract polynomials.","Pitcher Graduated 1000 mL, 2 Thermometers, Desk Lamp",N/A,N/A,,,
Climate Change v1.1,2,Data Analysis; Radiative Forcing,"• Consider statistical factors relating to climate data in the IPCC Report.
• Define radiative forcing.
• Set up and solve polynomial equations describing factors that influence radiative forcing.
• Graph global temperature changes.","2 ""Earth's Heat Balance"" Worksheets",N/A,"1. Show your completed worksheet table, explain what an RF value is, and explain what positive and negative RF values indicate in the real world.
2. Show your completed worksheet equations, explain the polynomials in Lines 1 and 2, and show the process of adding them to obtain the total RF value in Line 3.
3. Define levels of confidence in data and explain factors that influence levels of confidence in the climate data in the IPCC Report.
4. Show your printed graphs, tell whether the correlation with time is positive or negative on each graph, and explain and compare the correlation coefficients.",,,
Climate Change v1.1,3,Albedo; Weather Changes; Multiply Monomials,"• Learn more about different types of graphs used in statistics.
• Learn about surveys.
• Create your own survey questions.","Light Meter, Solar Light Apparatus, Aluminum Foil, 12"" Ruler, 1 Sheet of each color Construction Paper, 2 ""Radiation and Albedo"" Worksheets",N/A,N/A,,,
